disease,protein,common_interactor_score,common_interactor_score_pvalue,degree,frac_direct_interactions,frac_direct_interactions_pvalue
GO:0042562,30061,0.008345977769259423,0.372,4,0.0,1.0
GO:0042562,367,0.1387512898877925,0.018,301,0.0425531914893617,0.23
GO:0042562,1393,0.012163516240764276,0.487,11,0.0,1.0
GO:0042562,5618,0.07065760098106308,0.036,25,0.0,1.0
GO:0042562,1139,0.04641059161178093,0.036,6,0.02127659574468085,0.037
GO:0042562,5745,0.05047062611336488,0.121,67,0.0,1.0
GO:0042562,1141,0.0,1.0,5,0.0,1.0
GO:0042562,886,0.21902724660328257,0.009,5,0.02127659574468085,0.026
GO:0042562,887,0.2639762139698696,0.001,15,0.02127659574468085,0.038
GO:0042562,1910,0.02163691255317026,0.182,9,0.0,1.0
GO:0042562,79602,0.03681361825695935,0.057,8,0.0,1.0
GO:0042562,90226,0.0,1.0,4,0.0,1.0
GO:0042562,7421,0.12404588044378882,0.013,127,0.0,1.0
GO:0060090,153090,0.15351796975232448,0.026,35,0.03260869565217391,0.023
GO:0060090,26119,0.059703927118106445,0.323,19,0.0,1.0
GO:0060090,79368,0.024629262087572407,0.251,1,0.0,1.0
GO:0060090,7175,0.13445754952280822,0.268,89,0.021739130434782608,0.301
GO:0060090,8717,0.1740007696659971,0.119,92,0.03260869565217391,0.124
GO:0060090,10256,0.04868831904412889,0.592,25,0.0,1.0
GO:0060090,4627,0.2903936802550056,0.158,343,0.05434782608695652,0.428
GO:0060090,2068,0.08921296010018276,0.503,59,0.0,1.0
GO:0060090,54815,0.07177950202713464,0.615,53,0.0,1.0
GO:0060090,55841,0.21184746263589396,0.006,14,0.021739130434782608,0.012
GO:0060090,8738,0.08320026533532764,0.209,25,0.0,1.0
GO:0060090,92714,0.10685873735755623,0.141,39,0.010869565217391304,0.334
GO:0060090,286257,0.03251117593858941,0.318,6,0.0,1.0
GO:0060090,2621,0.0046004370622823604,0.913,8,0.0,1.0
GO:0060090,29760,0.21423086716523385,0.014,50,0.021739130434782608,0.175
GO:0060090,4690,0.2564813909140023,0.11,267,0.05434782608695652,0.187
GO:0060090,3667,0.28464484549060154,0.01,122,0.043478260869565216,0.131
GO:0060090,23636,0.14836903735979037,0.451,140,0.021739130434782608,0.443
GO:0060090,51283,0.09147173707600487,0.081,20,0.0,1.0
GO:0060090,54875,0.03150426530896439,0.574,12,0.0,1.0
GO:0060090,117854,0.08350435853448601,0.058,8,0.010869565217391304,0.074
GO:0060090,1642,0.2357496546242784,0.36,382,0.043478260869565216,0.572
GO:0060090,10346,0.029890368546849424,0.619,13,0.0,1.0
GO:0060090,26228,0.06660221979683086,0.263,19,0.0,1.0
GO:0060090,9846,0.24853290021756028,0.005,57,0.043478260869565216,0.019
GO:0060090,8312,0.1644297774293602,0.108,85,0.010869565217391304,0.624
GO:0060090,8826,0.29288135147372424,0.022,284,0.05434782608695652,0.16
GO:0060090,26747,0.06767373991851372,0.786,97,0.0,1.0
GO:0060090,636,0.06332456173226701,0.236,17,0.0,1.0
GO:0060090,4221,0.1271033490328499,0.272,73,0.043478260869565216,0.021
GO:0060090,9863,0.07123180638944077,0.326,29,0.0,1.0
GO:0060090,80014,0.25294902672451314,0.01,15,0.021739130434782608,0.022
GO:0060090,5781,0.25167884019802755,0.034,175,0.03260869565217391,0.306
GO:0060090,553115,0.08098101334232122,0.622,60,0.021739130434782608,0.128
GO:0060090,56990,0.024916246334456514,0.565,9,0.0,1.0
GO:0060090,10399,0.2316913649159338,0.125,286,0.021739130434782608,0.572
GO:0060090,57506,0.10456040458642715,0.462,73,0.010869565217391304,0.51
GO:0060090,387755,0.008511758648487798,0.966,14,0.0,1.0
GO:0060090,7341,0.17523751457939274,0.397,258,0.03260869565217391,0.43
GO:0060090,57521,0.21306913717283962,0.033,88,0.043478260869565216,0.044
GO:0060090,5318,0.12207846216122817,0.201,62,0.0,1.0
GO:0060090,9414,0.13655033246861006,0.193,69,0.010869565217391304,0.532
GO:0060090,84174,0.10216801736269633,0.038,10,0.0,1.0
GO:0060090,9425,0.06374077223589142,0.79,58,0.0,1.0
GO:0060090,92369,0.1645814696659742,0.003,8,0.0,1.0
GO:0060090,55004,0.28845184727995593,0.001,32,0.043478260869565216,0.01
GO:0060090,79083,0.02144046787032719,0.668,7,0.0,1.0
GO:0060090,3312,0.32085779243271834,0.05,600,0.07608695652173914,0.236
GO:0060090,9972,0.17497950110169902,0.171,123,0.03260869565217391,0.242
GO:0060090,23286,0.24800154244972597,0.005,45,0.03260869565217391,0.022
GO:0060090,84727,0.20642525461670888,0.003,16,0.0,1.0
GO:0060090,143098,0.05106733618488653,0.439,21,0.010869565217391304,0.178
GO:0060090,1278,0.05254737380805738,0.771,37,0.0,1.0
GO:0060090,64768,0.0,1.0,1,0.0,1.0
GO:0060090,9479,0.16488869871906198,0.019,38,0.010869565217391304,0.353
GO:0060090,267,0.1297299216242447,0.359,113,0.021739130434782608,0.32
GO:0060090,10519,0.06799381944218885,0.536,38,0.0,1.0
GO:0060090,28956,0.26764921877909853,0.001,25,0.05434782608695652,0.001
GO:0060090,286,0.05397481898964263,0.437,21,0.0,1.0
GO:0060090,55070,0.060483465060682376,0.244,16,0.010869565217391304,0.168
GO:0060090,10016,0.1459393604846422,0.361,121,0.010869565217391304,0.739
GO:0060090,23328,0.09628879327132346,0.041,14,0.021739130434782608,0.006
GO:0060090,10542,0.2088829706706636,0.008,54,0.03260869565217391,0.031
GO:0060090,80176,0.20580068858680325,0.003,22,0.0,1.0
GO:0060090,6453,0.18510195354011832,0.135,138,0.021739130434782608,0.475
GO:0060090,1355,0.0341435496342606,0.536,12,0.010869565217391304,0.099
GO:0060090,859,0.06402531413110261,0.328,21,0.0,1.0
GO:0060090,10603,0.17159167379930745,0.004,26,0.0,1.0
GO:0060090,8557,0.06472136376298922,0.276,23,0.010869565217391304,0.182
GO:0060090,10093,0.138398978669913,0.199,76,0.03260869565217391,0.088
GO:0060090,85363,0.18475655869002428,0.012,59,0.03260869565217391,0.056
