entrez_id	essentiality	data_source
127795	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
10227	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
2743	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
55718	Essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
390201	Non-essential	PMID:26472760,PMID:18239125
9774	Non-essential	PMID:21746896,PMID:26472760,PMID:18239125,PMID:26627737,PMID:26472758
9077	Non-essential	PMID:26472758,PMID:18239125
149233	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
642273	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
8673	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
11273	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
899	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
389084	Non-essential	PMID:26472758,PMID:18239125
1947	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
10120	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
1285	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
431704	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
3816	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
2013	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
57643	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
7416	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
658	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
84665	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
1763	Non-essential	PMID:18239125,PMID:26627737
120379	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
5178	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
64926	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
823	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
10270	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
9903	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
282808	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
54916	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
28624	Non-essential	PMID:18239125
2306	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
23131	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
56971	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
390667	Non-essential	PMID:26472758,PMID:26472760
245908	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
221935	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
285855	Essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
202500	Non-essential	PMID:26472758,PMID:26472760,PMID:19490893,PMID:18239125
23504	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
9056	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
84067	Non-essential	PMID:26472758,PMID:26472760,PMID:19490893,PMID:18239125
10313	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
85329	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
26099	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
28992	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
9611	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
55748	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
79969	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
3849	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
5706	Essential	PMID:26472758,PMID:26472760,PMID:22585861,PMID:18239125,PMID:26627737
85457	Non-essential	PMID:26472760,PMID:18239125
149345	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
55170	Non-essential	PMID:26472758,PMID:18239125
4041	Non-essential	PMID:26472758,PMID:26472760,PMID:22585861,PMID:18239125
55253	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
4287	Non-essential	PMID:21746896,PMID:26472758,PMID:26472760
27107	Essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
255762	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
219790	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
55228	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
150082	Non-essential	PMID:26472758,PMID:18239125
5638	Non-essential	PMID:21746896,PMID:26472760,PMID:18239125,PMID:26472758
399671	Non-essential	PMID:26472758,PMID:18239125
7019	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
90139	Non-essential	PMID:26472758,PMID:18239125
8036	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
116154	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
10023	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
26095	Non-essential	PMID:26472760,PMID:18239125
1316	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
5540	Non-essential	PMID:26472758,PMID:18239125
414241	Non-essential	PMID:18239125
83849	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
3850	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
642517	Non-essential	PMID:26472758,PMID:18239125
652972	Non-essential	PMID:18239125
81930	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
64785	Essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
222223	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
389524	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
137735	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
51806	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
7326	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
284114	Non-essential	PMID:26472758,PMID:26472760,PMID:19490893,PMID:18239125
284369	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
54468	Essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
10658	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
148252	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
23556	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
342865	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
9794	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
442247	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
401647	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
84364	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
4056	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
1183	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
3111	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
4168	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
286410	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
10735	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
4049	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
728695	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
440138	Essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
56001	Non-essential	PMID:26472758
6689	Non-essential	PMID:26472758,PMID:26472760
8938	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
4775	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
