,lci,rw
C0019294,0.39531028705495913,0.362443414530606
C0026106,0.3342703562866276,0.28092938342377544
C0024232,0.04205413794471453,0.2071373682198477
C0263401,0.36749449969654396,0.3988431714103689
C0311375,0.3237700080140723,0.31528679316174313
C4021753,0.18106333351367604,0.15128250829283993
C0019196,0.10459693838590495,0.1838235043299622
C0752347,0.350027752826832,0.39930202193439085
C0007138,0.40391506904135555,0.36877333303995913
C4049796,0.3702786702731642,0.1674841500340951
C0240063,0.30530207792051306,0.3138436584853213
C1865992,0.4407218081926462,0.4712813736370792
C2937358,0.3746951858316416,0.37621276556374506
C0220981,0.31440950753854413,0.14199796811365326
C1839758,0.019718943648281334,0.17566944203462967
C0014850,0.15251010121846015,0.23579633847998904
C1857486,0.2898420713197422,0.2816584059281174
C1846460,0.14202499870166846,0.2040613882345804
C3665596,0.22311679210953222,0.17565597818633147
C0240310,0.43200157907016656,0.3753365412029002
C0155552,0.37589133777344025,0.041900802635646814
C0007194,0.2357633928160352,0.25198855779720014
C0020615,0.259927523034294,0.267017707635958
C0003850,0.3671603195352539,0.1784322914763892
C1854912,0.23950988860313524,0.1290979381556465
C1298695,,0.13409750136169651
C0231807,0.3397020376323594,0.3736894901941678
C1850049,0.43955507097517815,0.39199144613786013
C0004782,0.15662928475683577,0.016138127529937003
C1856661,0.2543242047172009,0.22747181169197608
C1851854,0.261180092617074,0.23590416861267072
C0024809,0.32470441049729354,0.19126231864193044
C0162538,0.2601736716666272,0.2854537613013556
C1846439,0.4046266515649122,0.3570523217519869
C0220994,0.2984621337284199,0.15458171704691576
C0005937,0.09705148380804689,0.06072703599347101
C0240379,0.29594515085157225,0.2407956603278655
C0393706,,0.021683997981538253
C0730292,-0.0011246372429377877,0.03986201626299657
C0267812,0.1366284284874124,0.06000745103471193
C0162835,0.24665526869573826,0.1789640603693714
C0079773,0.3839165827020293,0.40179049712445025
C3277697,0.1364601016998116,0.16544653556730007
C0850715,0.16294520256079403,
C0151514,0.36678885164209035,0.37168958701951293
C1142166,0.4158038315738353,0.16471422456570517
C0040336,0.34888505991908514,-0.003407295703900166
C0162671,0.2793647395244432,0.24507440153817642
C1855773,0.16556220310048195,0.2835651372529926
C0751466,0.04990840059540593,0.0954276285400921
C4020851,0.030834191144948224,0.17442901305407724
C0037926,0.21902516946695358,
C1280433,0.33381970680540723,0.16537250269152634
C0025521,-0.0032268257680282395,0.03822752875145797
C0162834,0.3108463053144809,0.3070369872278908
C0241054,0.31511881375650846,0.29555229176625436
C0542223,0.0481368148493382,0.15280286473212115
C1840077,0.29860402661620805,0.32529771710646915
C0349639,0.37196428137316995,0.2873058766646132
C0566899,0.35169604447461594,0.2940834275537933
C0040028,0.23615999297057047,0.1435774737045147
C1834752,0.2285498765998886,0.16537400660787624
C4025763,,0.06930219330715966
C0021364,0.301203935275125,0.34098001607348305
C0001925,0.23507257188928712,0.2997841602650762
C0409354,0.1990653765953588,-0.00405054956449693
C0018920,0.1843039836187296,0.38265991962115303
C0271215,0.2351229604675529,0.15748102215872584
