disease,protein,common_interactor_score,common_interactor_score_pvalue,degree,frac_direct_interactions,frac_direct_interactions_pvalue
DB01065,811,0.03033745967077156,0.028,158,0.2222222222222222,0.014
DB01065,6096,0.011769228416288986,0.109,21,0.0,1.0
DB01065,2099,0.03621031069046608,0.013,789,0.1111111111111111,0.337
DB01065,438,0.0012846383666212657,0.897,23,0.0,1.0
DB01065,4543,0.09286454305372183,0.004,29,0.2222222222222222,0.004
DB00119,9120,0.008287872918049517,0.174,6,0.0,1.0
DB00119,5313,0.024297836333738124,0.031,22,0.0,1.0
DB00119,9122,0.030222754872271863,0.006,3,0.0,1.0
DB00119,5315,0.03567886472653648,0.002,194,0.0,1.0
DB00119,9121,0.009089418932717579,0.112,4,0.0,1.0
DB00119,9123,0.019018713985069692,0.023,12,0.0,1.0
DB00119,64902,0.0,1.0,3,0.0,1.0
DB00119,6567,0.0,1.0,45,0.0,1.0
DB00119,6566,0.02318543820321955,0.021,17,0.0,1.0
DB00119,5091,0.015468847818181877,0.107,61,0.0,1.0
DB00119,5162,0.017721467165751556,0.058,67,0.0,1.0
DB00119,9194,0.0,1.0,2,0.0,1.0
DB00119,18,0.009795586530414329,0.207,46,0.0,1.0
DB00119,23539,0.0,1.0,2,0.0,1.0
DB08846,768,0.03095493914359023,0.012,33,0.07142857142857142,0.087
DB08846,6850,0.03296968011789584,0.075,140,0.07142857142857142,0.252
DB08846,771,0.01197003190704221,0.176,13,0.0,1.0
DB08846,11238,0.003102305158543337,0.35,3,0.0,1.0
DB08846,5578,0.1318985154781708,0.004,395,0.14285714285714285,0.163
DB08846,5579,0.1076760079602919,0.01,202,0.07142857142857142,0.244
DB08846,6713,0.0,1.0,9,0.0,1.0
DB08846,23632,0.006833335053551575,0.729,44,0.0,1.0
DB08846,1457,0.04865746281660735,0.055,615,0.0,1.0
DB08846,759,0.01035291020110807,0.107,3,0.0,1.0
DB08846,760,0.11302369979034059,0.001,20,0.07142857142857142,0.051
DB08846,761,0.00437105216381401,0.394,5,0.0,1.0
DB08846,762,0.09388240063210739,0.001,6,0.0,1.0
DB08846,765,0.0,1.0,4,0.0,1.0
DB08846,5566,0.09161903548445435,0.009,420,0.0,1.0
DB00599,2891,0.05040437449132045,0.003,39,0.1,0.01
DB00599,1131,0.0040455669703136745,0.265,12,0.0,1.0
DB00599,1137,0.023367955153353725,0.012,8,0.0,1.0
DB00599,2898,0.050404374491320444,0.004,25,0.1,0.006
DB00599,1139,0.008695266667493914,0.057,6,0.0,1.0
DB00599,2166,0.0,1.0,3,0.0,1.0
DB00599,2554,0.7384466871191755,0.003,14,0.4,0.003
DB00599,2555,0.8582629040678028,0.002,9,0.4,0.002
DB00599,2556,0.8044528509129129,0.001,11,0.4,0.001
DB00599,2557,0.8117625845329807,0.002,10,0.4,0.002
DB00599,2559,0.8542173370974891,0.0,9,0.4,0.0
DB00334,2565,0.03901962725044565,0.005,1,0.0,1.0
DB00334,2566,0.3953258062038484,0.003,19,0.06451612903225806,0.003
DB00334,2567,1.2250328694812789,0.007,8,0.16129032258064516,0.007
DB00334,147,0.22884065016441288,0.008,14,0.06451612903225806,0.011
DB00334,1812,0.02948235045612063,0.046,13,0.0,1.0
DB00334,148,0.10989553533147318,0.014,9,0.03225806451612903,0.018
DB00334,1814,0.2258975461153375,0.002,22,0.0,1.0
DB00334,3351,0.38270703422103053,0.002,10,0.06451612903225806,0.008
DB00334,3352,0.48579886039356246,0.002,6,0.06451612903225806,0.002
DB00334,1815,0.3775426559044378,0.004,13,0.0967741935483871,0.004
DB00334,154,0.14761990940128272,0.005,276,0.03225806451612903,0.052
DB00334,1816,0.13257288513588586,0.001,6,0.03225806451612903,0.003
DB00334,153,0.2359389655403511,0.003,21,0.03225806451612903,0.011
DB00334,1813,0.2089789628598631,0.002,25,0.0,1.0
DB00334,155,0.14949388415030568,0.008,10,0.03225806451612903,0.018
DB00334,3356,0.08109186798071082,0.015,22,0.0,1.0
DB00334,3358,0.07523393763770075,0.012,9,0.0,1.0
DB00334,3359,0.003932282842920583,0.148,2,0.0,1.0
DB00334,3362,0.04099074749616016,0.037,29,0.0,1.0
DB00334,3354,0.0019488179521671043,0.349,5,0.0,1.0
DB00334,3355,0.0,1.0,1,0.0,1.0
DB00334,3269,0.1522449337194873,0.005,11,0.0,1.0
DB00334,3350,0.5522555174093791,0.005,11,0.06451612903225806,0.005
DB00334,1128,0.09046376127962363,0.005,5,0.0,1.0
DB00334,1129,0.200508952718586,0.005,20,0.0,1.0
DB00334,1131,0.1305544315052625,0.001,12,0.0,1.0
DB00334,1132,0.20089465963772493,0.002,8,0.0,1.0
DB00334,2554,1.1202298042054055,0.001,14,0.22580645161290322,0.001
DB00334,2555,1.1664920823452851,0.0,9,0.16129032258064516,0.0
DB00334,2556,1.0787976264804886,0.002,11,0.16129032258064516,0.002
DB00334,2557,1.113872654604572,0.004,10,0.16129032258064516,0.004
DB00334,2559,1.1615685113031304,0.001,9,0.16129032258064516,0.001
DB00277,134,0.030329699053707693,0.007,11,0.0,1.0
DB00277,135,0.029258505448590592,0.014,16,0.0,1.0
DB00277,136,0.03315316273538413,0.005,7,0.0,1.0
