disease,protein,common_interactor_score,common_interactor_score_pvalue,degree,frac_direct_interactions,frac_direct_interactions_pvalue
GO:0006029,2137,0.017322969400398222,0.052,18,0.0,1.0
GO:0006029,10855,0.012248310153340637,0.177,13,0.0,1.0
GO:0006029,26229,0.08345862125262923,0.003,30,0.047619047619047616,0.009
GO:0006029,64377,0.014512782204464945,0.124,32,0.0,1.0
GO:0055067,23682,0.007555675308913142,0.526,8,0.0,1.0
GO:0055067,525,0.061668230697414034,0.103,97,0.0,1.0
GO:0055067,6546,0.036613155645627234,0.064,10,0.0,1.0
GO:0055067,6548,0.07187206562860829,0.049,43,0.024390243902439025,0.114
GO:0055067,27035,0.00775634043757387,0.385,3,0.0,1.0
GO:0055067,5538,0.08590016664846958,0.026,37,0.04878048780487805,0.007
GO:0055067,1579,0.09759000729485331,0.005,4,0.0,1.0
GO:0055067,3757,0.0596814566299244,0.054,31,0.0,1.0
GO:0055067,1201,0.12069551200919922,0.013,91,0.024390243902439025,0.163
GO:0055067,1585,0.008424920169162636,0.589,10,0.0,1.0
GO:0055067,1203,0.08468109845791565,0.029,49,0.024390243902439025,0.163
GO:0055067,9777,0.032541092819008,0.257,46,0.024390243902439025,0.158
GO:0055067,55858,0.020467431057395284,0.351,20,0.0,1.0
GO:0055067,50617,0.0,1.0,1,0.0,1.0
GO:0055067,65082,0.01631111536403199,0.528,24,0.0,1.0
GO:0055067,64699,0.007009955974664375,0.509,5,0.0,1.0
GO:0055067,120892,0.05916767043511869,0.132,154,0.024390243902439025,0.185
GO:0055067,147007,0.11339730836268146,0.003,16,0.0,1.0
GO:0055067,6337,0.17895673361474396,0.001,23,0.04878048780487805,0.003
GO:0055067,3778,0.03995012980079235,0.117,20,0.0,1.0
GO:0055067,6338,0.20173664812811606,0.004,24,0.04878048780487805,0.007
GO:0055067,6340,0.2131752140691551,0.001,17,0.04878048780487805,0.002
GO:0055067,54982,0.027747222587235963,0.161,12,0.0,1.0
GO:0055067,7879,0.13284684389268397,0.022,182,0.04878048780487805,0.112
GO:0055067,84679,0.0,1.0,5,0.0,1.0
GO:0055067,54734,0.006269698090463361,0.535,6,0.0,1.0
GO:0055067,653519,0.07525378956228385,0.007,12,0.0,1.0
GO:0055067,2896,0.021100104854087018,0.755,110,0.0,1.0
GO:0055067,8529,0.10107221401129851,0.002,6,0.0,1.0
GO:0055067,596,0.04770980935268536,0.209,136,0.0,1.0
GO:0055067,476,0.1909812472640645,0.005,160,0.12195121951219512,0.01
GO:0055067,477,0.10748082900365982,0.005,17,0.0,1.0
GO:0055067,478,0.10440933839600093,0.018,78,0.04878048780487805,0.048
GO:0055067,55647,0.007027188679258997,0.284,1,0.0,1.0
GO:0055067,480,0.035472995452641064,0.071,6,0.0,1.0
GO:0055067,481,0.14170723788421416,0.005,78,0.024390243902439025,0.183
GO:0055067,482,0.04219876961424413,0.056,8,0.024390243902439025,0.019
GO:0055067,483,0.10853450849395488,0.023,102,0.07317073170731707,0.01
GO:0055067,84317,0.10054876204937073,0.0,19,0.024390243902439025,0.027
GO:0055067,65010,0.006744053407685143,0.746,19,0.0,1.0
GO:0055067,506,0.11979605615936673,0.02,158,0.024390243902439025,0.226
GO:0055067,11261,0.04295676693235969,0.065,16,0.024390243902439025,0.042
GO:0006333,1029,0.16600918829079914,0.121,183,0.019230769230769232,0.495
GO:0006333,8968,1.453853688624738,0.004,66,0.4230769230769231,0.025
GO:0006333,146059,0.4877175340241617,0.004,11,0.09615384615384616,0.004
GO:0006333,8208,0.9482017368639649,0.015,54,0.38461538461538464,0.002
GO:0006333,8467,0.5122075529314437,0.017,215,0.36538461538461536,0.016
GO:0006333,8091,0.1781786043256724,0.03,28,0.019230769230769232,0.106
GO:0006333,8350,1.0628127374305065,0.008,309,0.5961538461538461,0.008
GO:0006333,8351,1.4494494700423488,0.002,66,0.4230769230769231,0.023
GO:0006333,8352,1.4921162434586859,0.003,87,0.4807692307692308,0.003
