disease,protein,degree,frac_direct_interactions,frac_direct_interactions_pvalue,common_interactor_score,common_interactor_score_pvalue
C0024667,1447,2,0.0,1.0,0.03708306053938753,0.234
C0024667,1448,6,0.0,1.0,0.05728386602549644,0.282
C0024667,5037,1,0.0,1.0,0.05108952425410623,0.084
C0024667,11186,1,0.0,1.0,0.0,1.0
C0024667,7091,1,0.0,1.0,0.0,1.0
C0024667,949,2,0.0,1.0,0.021983419305919533,0.391
C0024667,1468,9,0.0,1.0,0.11613458255629885,0.055
C0024667,1984,9,0.0,1.0,0.10230097133447244,0.125
C0024667,3021,3,0.0,1.0,0.0,1.0
C0024667,3039,11,0.0,1.0,0.07169207882936061,0.278
C0024667,998,6,0.0,1.0,0.0,1.0
C0024667,6634,3,0.0,1.0,0.04352235486172678,0.269
C0024667,5617,1,0.0,1.0,0.014154261875379898,0.252
C0024667,5618,2,0.0,1.0,0.009878259746169998,0.496
C0024667,3572,6,0.0,1.0,0.07104965558917697,0.196
C0024667,1019,12,0.012195121951219513,0.122,0.11109764901401975,0.077
C0018800,3074,3,0.0,1.0,0.025083998070195006,0.299
C0018800,1543,1,0.0,1.0,0.0,1.0
C0018800,3091,4,0.0,1.0,0.0,1.0
C0018800,3606,1,0.0,1.0,0.0,1.0
C0018800,26,9,0.0,1.0,0.021354166871974466,0.562
C0018800,4638,2,0.0,1.0,0.06981601770230259,0.027
C0018800,5696,16,0.0,1.0,0.036114059798801744,0.502
C0018800,3162,29,0.0,1.0,0.04674523633173397,0.431
C0018800,7276,5,0.0,1.0,0.009296174225198373,0.694
C0018800,6774,6,0.0,1.0,0.011329308367402058,0.653
C0018800,3728,12,0.01818181818181818,0.069,0.025014488605925134,0.611
C0018800,5264,3,0.0,1.0,0.03401683505683886,0.174
C0018800,4758,18,0.0,1.0,0.03310538361966965,0.551
C0018800,152,12,0.0,1.0,0.043577095977876866,0.352
C0018800,2200,3,0.0,1.0,0.01633941232804398,0.421
C0018800,6648,1,0.0,1.0,0.0,1.0
C0018800,1193,1,0.0,1.0,0.0,1.0
C0018800,3764,3,0.0,1.0,0.0,1.0
C0018800,183,1,0.0,1.0,0.022360679774997897,0.222
C0018800,7351,1,0.0,1.0,0.024799317532172144,0.205
C0018800,84676,1,0.0,1.0,0.0,1.0
C0018800,3270,1,0.0,1.0,0.0,1.0
C0018800,207,7,0.0,1.0,0.029291516517459,0.427
C0018800,1756,4,0.0,1.0,0.00533001790889026,0.634
C0018800,2274,102,0.01818181818181818,0.383,0.058756473301632355,0.655
C0018800,4846,3,0.0,1.0,0.03144382406400669,0.206
C0018800,4878,4,0.0,1.0,0.023300161354719746,0.343
C0018800,4879,9,0.0,1.0,0.06004839572061389,0.113
C0018800,9495,5,0.0,1.0,0.0,1.0
C0018800,10539,86,0.0,1.0,0.04171811370793581,0.847
C0018800,6464,1,0.0,1.0,0.005579891485557508,0.291
C0018800,5443,16,0.0,1.0,0.0455337346363625,0.33
C0018800,10060,1,0.0,1.0,0.0,1.0
C0018800,51025,2,0.0,1.0,0.0194422075792062,0.32
C0018800,5465,21,0.0,1.0,0.03916995347773512,0.491
C0018800,3930,1,0.0,1.0,0.0,1.0
C0018800,5467,2,0.0,1.0,0.024799317532172144,0.269
C0018800,51548,1,0.0,1.0,0.0,1.0
C0018800,1375,2,0.0,1.0,0.0,1.0
C0018800,1376,2,0.0,1.0,0.01059726041478376,0.388
C0018800,859,2,0.0,1.0,0.0,1.0
C0018800,10616,20,0.0,1.0,0.03804599193372587,0.491
C0018800,894,4,0.0,1.0,0.0,1.0
C0018800,3976,4,0.0,1.0,0.009053500967205641,0.581
C0018800,3479,5,0.0,1.0,0.048012877209966366,0.164
C0018800,3481,3,0.0,1.0,0.018176664731094326,0.415
C0018800,6584,7,0.0,1.0,0.04021837716439332,0.256
C0018800,5563,100,0.0,1.0,0.1009991485200687,0.145
C0018800,1489,1,0.0,1.0,0.0,1.0
C0018800,93649,1,0.0,1.0,0.06454972243679029,0.043
C0018800,7124,30,0.0,1.0,0.011354617641938097,0.942
C0018800,2517,3,0.0,1.0,0.014373989364401724,0.472
C0018800,5592,6,0.0,1.0,0.02704312245141926,0.427
C0018800,3043,5,0.0,1.0,0.0,1.0
C0018800,7139,9,0.0,1.0,0.0,1.0
C0018800,4088,18,0.0,1.0,0.04428869771775098,0.378
C0043352,9217,26,0.0,1.0,0.0,1.0
C0043352,10891,3,0.0,1.0,0.0,1.0
C0043352,23435,2,0.0,1.0,0.015151515151515155,0.077
C0043352,10133,24,0.0,1.0,0.007899883397322536,0.549
C0043352,29978,242,0.0,1.0,0.03169759813098855,0.152
C0043352,9896,2,0.0,1.0,0.0,1.0
C0043352,8878,13,0.0,1.0,0.013581692577042111,0.292
C0043352,8626,5,0.0,1.0,0.0023472626340651018,0.418
C0043352,9782,11,0.0,1.0,0.004339303500485174,0.573
C0043352,7415,23,0.0,1.0,0.0114237973324647,0.402
C0043352,1610,1,0.0,1.0,0.0,1.0
C0043352,2255,2,0.0,1.0,0.0,1.0
C0043352,3930,1,0.0,1.0,0.0,1.0
C0043352,25978,1,0.0,1.0,0.0,1.0
C0043352,5630,33,0.0,1.0,0.013769881569487429,0.371
C0013182,3586,7,0.0,1.0,0.02323710244740337,0.112
C0013182,135,2,0.0,1.0,0.0,1.0
C0013182,2950,23,0.0,1.0,0.04154884535097636,0.073
