Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
DB00075,DB00075,0.75,0.6,0.9955667997400427,0.22411312452439153,78.46666666666667,1291.2
DB00139,DB00139,0.35,0.25,0.8224162486841291,0.1409796272394793,4152.0,7215.36
DB04855,DB04855,0.25,0.15,0.9221843082636954,0.011403657246395929,1868.5882352941176,717.0
DB00184,DB00184,0.3,0.2,0.910131811009004,0.04259061982037891,2396.818181818182,2068.818181818182
DB01174,DB01174,0.85,0.6,0.9094782770144819,0.15330734799922566,2988.4615384615386,4955.846153846154
DB02379,DB02379,0.05,0.0,0.7063541811765799,0.001814083817008785,6325.75,5227.95
DB00568,DB00568,0.15,0.0,0.9527157513578757,0.005711779861303284,1218.25,2136.5
DB08231,DB08231,0.0,0.0,0.6852208704804358,0.000809117457456056,6634.857142857143,3753.6190476190477
DB00696,DB00696,0.5,0.1,0.980388561348127,0.02884853059792526,463.9375,1584.5
DB00852,DB00852,0.35,0.25,0.9352648929748805,0.032166890443072985,1395.7,3968.5
DB04799,DB04799,1.0,0.4,0.9987422843087204,0.07402920632478023,28.1,6121.4
DB11823,DB11823,0.7,0.6,0.9690165684318004,0.1900124084091559,668.6,5612.1
DB01373,DB01373,0.1,0.05,0.692097687807596,0.004166636997000755,5905.263157894737,3279.5263157894738
DB03461,DB03461,0.18333333333333332,0.11666666666666665,0.9343908216823819,0.019155919410551298,1497.4642857142858,4412.428571428572
DB01069,DB01069,0.45,0.1,0.968247006404901,0.044415038649191864,721.4545454545455,1469.0
DB00193,DB00193,0.4,0.3,0.9576785631410406,0.018498945732334838,912.9,4476.2
DB01109,DB01109,0.8,0.4,0.9970178695753076,0.2081541312921386,57.666666666666664,2397.1666666666665
DB00786,DB00786,0.6,0.25,0.9584807540511677,0.09602166959820406,895.7,5332.2
DB09286,DB09286,0.8,0.4,0.9961479556318744,0.05832007254261353,84.0,1030.4
DB00996,DB00996,0.75,0.45,0.9722823059784627,0.09725578855168653,904.9230769230769,5146.7692307692305
DB01942,DB01942,0.1,0.0,0.5662164670936601,0.0036926790814793844,10195.272727272728,4695.909090909091
DB00555,DB00555,0.6416666666666667,0.4333333333333333,0.9277426748435854,0.08605916060964944,1556.5454545454545,1941.5454545454545
DB00783,DB00783,0.2222222222222222,0.0,0.6838891982756842,0.006008491752439762,6812.555555555556,3360.0
DB01142,DB01142,0.35,0.2,0.9138917262512768,0.027360923152997645,1936.2105263157894,2673.3684210526317
DB12141,DB12141,0.1,0.05,0.824830547818013,0.006646750297819602,3738.705882352941,3081.764705882353
DB00454,DB00454,0.3,0.1,0.9332180493013326,0.018044868370192847,1660.1875,2414.25
DB06151,DB06151,0.6,0.3,0.9176451478164014,0.12117065384402334,1775.5,4421.2
DB06637,DB06637,0.65,0.55,0.9628626467994243,0.19453514720926765,1107.142857142857,2864.5714285714284
DB00116,DB00116,0.55,0.45,0.7941009932238001,0.0674362508651328,4207.545454545455,5704.0
DB00734,DB00734,0.5,0.25,0.9870856930647107,0.048665485162924974,325.4,1313.2
DB00368,DB00368,0.35,0.25,0.924975632397308,0.10280852028141811,2315.5833333333335,1137.1666666666667
DB00308,DB00308,0.0,0.0,0.7821824678639381,0.001211349503676098,4694.75,3661.875
DB03814,DB03814,0.1,0.0,0.609958689194207,0.0026377279449973307,8576.923076923076,5050.538461538462
DB01645,DB01645,0.5,0.05,0.816038524019494,0.017427251111893183,3696.4166666666665,3162.1666666666665
DB00243,DB00243,0.25,0.15,0.9781434207472731,0.015102189807331143,579.3333333333334,404.9166666666667
DB04137,DB04137,0.1,0.0,0.688875481505546,0.0022459013134332015,6704.8,5521.8
DB04447,DB04447,0.0,0.0,0.6984823873393048,0.0013101829880104662,6497.8,3892.6
DB01239,DB01239,0.7,0.15,0.9937363657461127,0.03318441577204026,149.08333333333334,1707.5
DB00182,DB00182,0.25,0.05,0.8154997910766516,0.057519988593068436,4374.555555555556,1981.7777777777778
DB00421,DB00421,0.0,0.0,0.7351486298188574,0.0010874510377128581,5555.851851851852,3461.296296296296
DB09079,DB09079,0.7,0.2,0.9933911913491438,0.031775788203399484,143.4,2279.1
DB00025,DB00025,0.5,0.3,0.979641232711408,0.054795497153059536,405.27272727272725,3697.0
DB00945,DB00945,0.13333333333333333,0.03333333333333333,0.7782516833062456,0.006047321296308752,4541.545454545455,3949.1363636363635
DB02494,DB02494,0.55,0.15,0.981253771526714,0.02301046653624004,494.2142857142857,5947.0
DB04315,DB04315,0.19166666666666665,0.03333333333333333,0.7783965244865719,0.0066180997989654265,4766.0,4928.542857142857
DB00721,DB00721,0.0,0.0,0.7535790548695571,0.0008371321508715227,5485.6,4842.866666666667
DB00477,DB00477,0.3,0.06666666666666667,0.8886860805350425,0.029476630416230644,2294.8076923076924,2115.346153846154
DB03496,DB03496,0.55,0.4,0.9700673009979115,0.12076054632830055,993.8333333333334,1631.0
DB00988,DB00988,0.25,0.1,0.8922039641646938,0.10434524855025946,2435.0,2695.714285714286
DB01159,DB01159,0.5666666666666667,0.36666666666666664,0.9273205134160124,0.1630915930839766,1676.642857142857,4989.678571428572
DB01592,DB01592,0.05,0.05,0.7902780356479763,0.00393461691266183,4851.0,7754.0
DB00171,DB00171,0.025,0.025,0.7476337639805435,0.0034891394204845023,5469.871794871795,3529.6666666666665
DB00145,DB00145,0.0,0.0,0.8237087784486763,0.001323781602786075,3849.4074074074074,5265.851851851852
DB01388,DB01388,0.1,0.1,0.8482432934187321,0.008880502076865434,3034.3636363636365,2085.181818181818
DB10770,DB10770,0.1,0.0,0.9783184813886567,0.004442771101101879,487.90909090909093,2894.5454545454545
DB00144,DB00144,0.1,0.1,0.8614981203879891,0.034084861183035504,2985.3,8241.4
DB00163,DB00163,0.0,0.0,0.834576036961409,0.0023664845540096874,3565.5555555555557,4756.666666666667
DB01050,DB01050,0.0,0.0,0.8214693460806608,0.001887501105117869,3847.8,2964.2
DB00170,DB00170,0.65,0.15,0.9270771444485705,0.07472480856166433,2062.3076923076924,4204.7692307692305
DB00126,DB00126,0.05,0.0,0.6764898919538094,0.0014483497743515506,7170.434782608696,10259.04347826087
DB12965,DB12965,0.2,0.05,0.9037231326307971,0.01610309362860297,2391.0,3567.625
DB00674,DB00674,0.3,0.25,0.9229515807065596,0.11169717495009457,1439.5625,1591.3125
DB00160,DB00160,0.0,0.0,0.8703629780913479,0.0021235459392999817,2622.3076923076924,8828.0
DB11638,DB11638,0.20714285714285713,0.09107142857142855,0.9530977931933515,0.027527741496215737,1024.6025641025642,4365.7307692307695
DB06148,DB06148,0.36666666666666664,0.16666666666666666,0.9513064611002754,0.05043193151502991,1058.7826086956522,2471.2608695652175
DB08818,DB08818,0.4,0.1,0.9380900440937573,0.010191607301822848,1808.25,4032.5
DB09061,DB09061,0.05,0.0,0.6933850393213202,0.0015269122144450531,6811.08,4831.52
DB00381,DB00381,0.1,0.0,0.7906049772495125,0.003400911320839063,4130.263157894737,2684.0
DB04946,DB04946,0.4,0.2,0.9903323122621368,0.04218490304991002,236.63636363636363,1550.2727272727273
DB00675,DB00675,0.45,0.25,0.9387540039923868,0.04104431433224899,1090.0625,3535.8125
DB01169,DB01169,0.3,0.0,0.9217013969462104,0.008150358407663944,1688.1,2512.8
DB00162,DB00162,0.35,0.2,0.8761084544314963,0.0676584847533003,2244.6111111111113,7650.888888888889
DB00543,DB00543,0.39,0.19,0.944763653265164,0.07321855493813505,1292.8333333333333,2382.4285714285716
DB01708,DB01708,0.475,0.225,0.9201914738765524,0.03850183565001312,1786.516129032258,4107.870967741936
DB00289,DB00289,0.7,0.6,0.9884131625359697,0.06375380168166657,295.90909090909093,6010.727272727273
DB00132,DB00132,0.8,0.5,0.9318513018053556,0.03698677779032257,1469.4,4670.8
DB00013,DB00013,0.7,0.5,0.9962129298742284,0.155310057212882,82.6,3610.0
DB00795,DB00795,0.3,0.2,0.7758342228616513,0.027033258913425916,4831.1,3426.6
DB04141,DB04141,0.8,0.4,0.9666395877820071,0.06112137628062887,949.3333333333334,4853.866666666667
DB00031,DB00031,0.35,0.1,0.9765455304928988,0.017865270914300395,478.0,2532.2727272727275
DB00393,DB00393,0.3,0.1,0.8796584211259107,0.012185827092897466,2594.0,758.0
DB01023,DB01023,0.05,0.0,0.8408652060898627,0.003202869827599508,3219.076923076923,2778.846153846154
DB08896,DB08896,0.35,0.05,0.9672083197920051,0.016104822783929017,758.0,2581.0
DB00418,DB00418,0.75,0.6,0.9938535815421753,0.19126601315202518,157.1875,4079.75
DB00898,DB00898,0.35500000000000004,0.2,0.8761647529171123,0.05807104300792779,2649.5434782608695,3148.891304347826
