Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
DB01109,DB01109,0.45,0.4,0.9879322348572754,0.32483312432047684,248.75,2397.1666666666665
DB00786,DB00786,0.5,0.15,0.90766587732739,0.032920393997244425,1990.1,5332.2
DB09286,DB09286,0.4,0.2,0.9904905555297724,0.03547436331962976,205.9,1030.4
DB00996,DB00996,0.6,0.35,0.9887625324916449,0.11549170251792004,324.38461538461536,5146.7692307692305
DB01942,DB01942,0.1,0.0,0.7694583681425786,0.0035485801773496883,5342.818181818182,4695.909090909091
DB00555,DB00555,0.35833333333333334,0.26666666666666666,0.8891318992752277,0.07018882636925064,2412.3636363636365,1941.5454545454545
DB00783,DB00783,0.2222222222222222,0.0,0.8290225439844894,0.004460334237280237,3685.222222222222,3360.0
DB01142,DB01142,0.15,0.0,0.93164174946606,0.006924817180979981,1523.578947368421,2673.3684210526317
DB12141,DB12141,0.15,0.05,0.7713242804085423,0.015425848307495365,5301.941176470588,3081.764705882353
DB00454,DB00454,0.05,0.0,0.9414302957151479,0.00548935857154096,1486.8125,2414.25
DB06151,DB06151,0.4,0.4,0.875203044507356,0.12775398976499636,2690.0,4421.2
DB06637,DB06637,0.75,0.55,0.9940862461124264,0.07338604110817958,176.14285714285714,2864.5714285714284
DB00116,DB00116,0.7,0.55,0.8516499582289055,0.08307165784508809,2908.2727272727275,5704.0
DB00734,DB00734,0.25,0.1,0.9668554451768638,0.014927493799131034,836.4666666666667,1313.2
DB00368,DB00368,0.5,0.2,0.9136597818519379,0.020000455911218257,2691.75,1137.1666666666667
DB00308,DB00308,0.25,0.125,0.6391972945380295,0.014228589457330965,7776.375,3661.875
DB03814,DB03814,0.0,0.0,0.6670975677682882,0.0006347447763626237,6917.153846153846,5050.538461538462
DB01645,DB01645,0.3,0.2,0.9613367370619634,0.04220227539128436,873.8333333333334,3162.1666666666665
DB00243,DB00243,0.65,0.15,0.9224599675098633,0.034040066138542664,2730.6666666666665,404.9166666666667
DB04137,DB04137,0.1,0.0,0.7481273495150138,0.003248365074603491,5428.1,5521.8
DB04447,DB04447,0.0,0.0,0.8212117696199007,0.0006397657794712542,3853.3,3892.6
DB01239,DB01239,0.05,0.0,0.9871223021582735,0.006290031600425332,256.5833333333333,1707.5
DB00182,DB00182,0.35,0.15,0.8417939551511212,0.013046028657118302,3772.3888888888887,1981.7777777777778
DB00421,DB00421,0.13333333333333333,0.06666666666666667,0.7169461216906641,0.009077003143600496,6106.407407407408,3461.296296296296
DB09079,DB09079,0.6,0.2,0.9909128881050726,0.022094096385011405,196.8,2279.1
DB00025,DB00025,0.5,0.2,0.9903067854822242,0.03714990806934676,191.45454545454547,3697.0
DB00945,DB00945,0.31666666666666665,0.21666666666666665,0.8850770064236515,0.042472664090047824,2279.7727272727275,3949.1363636363635
DB02494,DB02494,0.6,0.25,0.9564173977626143,0.023765596597563124,1184.7857142857142,5947.0
DB04315,DB04315,0.14999999999999997,0.0,0.8518879905832792,0.005523532698314963,3181.714285714286,4928.542857142857
DB00721,DB00721,0.25,0.05,0.5217563364590103,0.006470006689374185,9089.4,4842.866666666667
DB00477,DB00477,0.1,0.0,0.8828766274983357,0.00410847189707083,2415.8076923076924,2115.346153846154
DB03496,DB03496,0.55,0.25,0.9957020190299373,0.08458403076000179,102.5,1631.0
DB00988,DB00988,0.15,0.0,0.8837441396277212,0.0044631881298361825,2780.0,2695.714285714286
DB01159,DB01159,0.4,0.36666666666666664,0.889134036261167,0.11922059852002095,2559.035714285714,4989.678571428572
DB01592,DB01592,0.25,0.15,0.8408582435945042,0.02608123598585526,2700.846153846154,7754.0
DB00171,DB00171,0.05,0.0,0.8597112494965454,0.0030307878575257462,3010.358974358974,3529.6666666666665
DB00145,DB00145,0.19999999999999998,0.05,0.7949504567270476,0.007919137374201394,4646.333333333333,5265.851851851852
