HGNC ID	NCBI gene ID	Ensembl gene ID
HGNC:16526	51703	ENSG00000197142
HGNC:16496	23305	ENSG00000164398
HGNC:40772	101927693	ENSG00000223548
HGNC:18049	116285	ENSG00000166743
HGNC:32017	123876	ENSG00000183747
HGNC:30931	348158	ENSG00000066813
HGNC:10522	6296	ENSG00000005187
HGNC:32016	341392	ENSG00000215009
HGNC:26060	54988	ENSG00000183549
HGNC:51295	100421779	ENSG00000260762
HGNC:31665	142827	ENSG00000173124
HGNC:16091	84532	ENSG00000154930
HGNC:15814	55902	ENSG00000131069
HGNC:24723	79611	ENSG00000111058
HGNC:129	58	ENSG00000143632
HGNC:130	59	ENSG00000107796
HGNC:45169	100132116	ENSG00000180139
HGNC:132	60	ENSG00000075624
HGNC:17780	345651	ENSG00000169067
HGNC:134	643309	ENSG00000229145
HGNC:135	62	ENSG00000213763
HGNC:137	64	ENSG00000286676
HGNC:139	66	ENSG00000203413
HGNC:140	67	ENSG00000185607
HGNC:141	68	ENSG00000220267
HGNC:142	69	ENSG00000266920
HGNC:33971	644220	ENSG00000188460
HGNC:150	100462767	ENSG00000233125
HGNC:44626	389120	ENSG00000234667
HGNC:45086	389976	ENSG00000229001
HGNC:55065	391334	ENSG00000213857
HGNC:143	70	ENSG00000159251
HGNC:51491	399923	ENSG00000172900
HGNC:144	71	ENSG00000184009
HGNC:146	73	ENSG00000178631
HGNC:147	74	ENSG00000229129
HGNC:148	75	ENSG00000215388
HGNC:149	648740	ENSG00000236085
HGNC:154	82	ENSG00000229349
HGNC:155	83	ENSG00000231340
HGNC:37651	414754	ENSG00000229465
HGNC:44496	100418921	ENSG00000226642
HGNC:49058	100418920	ENSG00000241305
HGNC:49751	100418910	ENSG00000230581
HGNC:51495	100418951	ENSG00000259904
HGNC:51496	100418960	ENSG00000260298
HGNC:51497	283693	ENSG00000259315
HGNC:51498	100418924	ENSG00000218475
HGNC:51499	644160	ENSG00000237999
HGNC:51500	644961	ENSG00000241547
HGNC:51501	100131291	ENSG00000232672
HGNC:51502	100131953	ENSG00000271615
HGNC:51503	442097	ENSG00000230362
HGNC:49661	441783	ENSG00000226359
HGNC:54872	148709	ENSG00000234996
HGNC:145	72	ENSG00000163017
HGNC:24124	86	ENSG00000136518
HGNC:160	51412	ENSG00000077080
HGNC:161	10881	ENSG00000187003
HGNC:162	10880	ENSG00000148156
HGNC:24018	81569	ENSG00000117148
HGNC:28494	284382	ENSG00000181786
HGNC:16127	170487	ENSG00000182584
HGNC:163	87	ENSG00000072110
HGNC:20131	161159	ENSG00000259062
HGNC:164	88	ENSG00000077522
HGNC:165	89	ENSG00000248746
HGNC:166	81	ENSG00000130402
HGNC:44028	344978	ENSG00000213493
HGNC:44032	391026	ENSG00000214141
HGNC:51621	106480335	ENSG00000229890
HGNC:167	10121	ENSG00000138107
HGNC:54703	100287074	ENSG00000233370
HGNC:168	10120	ENSG00000115073
HGNC:169	10097	ENSG00000138071
HGNC:170	10096	ENSG00000115091
HGNC:17256	57180	ENSG00000133627
HGNC:37724	643050	ENSG00000270242
HGNC:38677	440888	ENSG00000226481
HGNC:38678	647156	ENSG00000260327
HGNC:38681	777774	ENSG00000249283
HGNC:38682	399746	ENSG00000227264
HGNC:38683	644773	ENSG00000280263
HGNC:54971	100289004	ENSG00000226444
HGNC:37282	653857	ENSG00000106526
HGNC:38676	100129013	ENSG00000232267
HGNC:38679	100128020	ENSG00000242573
HGNC:14671	79913	ENSG00000101442
HGNC:24025	64431	ENSG00000075089
HGNC:44210	100421495	ENSG00000248915
HGNC:14672	93973	ENSG00000113812
HGNC:17372	55860	ENSG00000131966
HGNC:24027	139741	ENSG00000123165
HGNC:24026	140625	ENSG00000169717
HGNC:24022	84517	ENSG00000184378
HGNC:171	90	ENSG00000115170
HGNC:172	91	ENSG00000135503
HGNC:18123	130399	ENSG00000123612
HGNC:173	92	ENSG00000121989
HGNC:174	93	ENSG00000114739
HGNC:44161	100128640	ENSG00000229589
HGNC:175	94	ENSG00000139567
HGNC:177	95	ENSG00000243989
HGNC:24104	91703	ENSG00000132744
HGNC:179	97	ENSG00000119640
HGNC:180	98	ENSG00000170634
HGNC:186	100	ENSG00000196839
HGNC:1839	51816	ENSG00000093072
HGNC:30713	132612	ENSG00000164113
HGNC:44552	100422407	ENSG00000267511
HGNC:30714	161931	ENSG00000140955
HGNC:31853	161823	ENSG00000168803
HGNC:187	8759	ENSG00000229186
HGNC:44366	100420505	ENSG00000226469
HGNC:198	2515	ENSG00000104755
HGNC:209	1587	ENSG00000197475
HGNC:210	1596	ENSG00000260089
HGNC:212	255926	ENSG00000196115
HGNC:213	8755	ENSG00000271968
HGNC:214	8756	ENSG00000069206
HGNC:215	101	ENSG00000151651
HGNC:216	8754	ENSG00000168615
HGNC:188	102	ENSG00000137845
HGNC:189	4185	ENSG00000073670
HGNC:190	8038	ENSG00000148848
HGNC:193	8751	ENSG00000143537
HGNC:195	6868	ENSG00000151694
HGNC:196	8749	ENSG00000168619
HGNC:197	8728	ENSG00000135074
HGNC:199	8748	ENSG00000134007
HGNC:20102	317760	ENSG00000259158
HGNC:43901	100533671	ENSG00000248574
HGNC:43902	644325	ENSG00000249162
HGNC:200	8747	ENSG00000139985
HGNC:19822	145241	ENSG00000235812
HGNC:201	53616	ENSG00000008277
HGNC:202	8745	ENSG00000114948
HGNC:203	646479	ENSG00000214607
HGNC:206	10863	ENSG00000042980
HGNC:207	11086	ENSG00000168594
HGNC:208	11085	ENSG00000134249
HGNC:15479	203102	ENSG00000197140
HGNC:15478	80332	ENSG00000149451
HGNC:16299	27299	ENSG00000134028
HGNC:217	9510	ENSG00000154734
HGNC:218	9509	ENSG00000087116
HGNC:219	9508	ENSG00000156140
HGNC:220	9507	ENSG00000158859
HGNC:221	11096	ENSG00000154736
HGNC:222	11174	ENSG00000049192
HGNC:223	11173	ENSG00000136378
HGNC:49407	390660	ENSG00000274376
HGNC:49409	400406	ENSG00000261143
HGNC:49410	642935	ENSG00000218052
HGNC:224	11095	ENSG00000134917
HGNC:13202	56999	ENSG00000163638
HGNC:40625	101929335	ENSG00000241158
HGNC:42435	100507098	ENSG00000241684
HGNC:13201	81794	ENSG00000142303
HGNC:14605	81792	ENSG00000151388
HGNC:1366	11093	ENSG00000160323
HGNC:14899	140766	ENSG00000138316
HGNC:16305	170689	ENSG00000166106
HGNC:17108	170690	ENSG00000145536
HGNC:17109	170691	ENSG00000140470
HGNC:17110	170692	ENSG00000140873
HGNC:17111	171019	ENSG00000145808
HGNC:40797	103689846	ENSG00000249421
HGNC:17178	80070	ENSG00000173157
HGNC:14632	92949	ENSG00000178031
HGNC:14631	9719	ENSG00000197859
HGNC:14633	57188	ENSG00000156218
HGNC:19706	54507	ENSG00000143382
HGNC:32041	574406	ENSG00000203804
HGNC:40895	100289061	ENSG00000237781
HGNC:27912	339366	ENSG00000185761
HGNC:16486	11033	ENSG00000105963
HGNC:16487	55803	ENSG00000184060
HGNC:225	103	ENSG00000160710
HGNC:226	104	ENSG00000197381
