,num_nodes,num_proteins,density,conductance,cut_ratio
C0026837,47,49,0.05087881591119334,0.9708840656431975,0.0036281986606922067
C0026838,193,200,0.020671416234887736,0.945258343457443,0.0032079048285188487
C0026846,14,14,0.12087912087912088,0.987885462555066,0.005948236417530388
C0026847,14,14,0.12087912087912088,0.9809688581314879,0.0037599220164322516
C0026848,96,111,0.021052631578947368,0.969844510758599,0.0029972003479179286
C0026884,10,10,0.2222222222222222,0.9818511796733213,0.005021580730496125
C0027022,16,16,0.15833333333333333,0.9734822051639916,0.004047514042987791
C0027051,104,106,0.0330470500373413,0.9609357757669389,0.0039029864928340667
C0027055,38,85,0.0953058321479374,0.961349870204788,0.004075957354700008
C0027066,75,79,0.020900900900900903,0.9789702683103698,0.0033516432361977468
C0027080,11,11,0.16363636363636364,0.97,0.002455634034581403
C0027092,116,119,0.015742128935532233,0.9619151251360174,0.0021325562208401884
C0027125,10,10,0.08888888888888889,0.9828326180257511,0.002125585928435513
C0027404,16,21,0.041666666666666664,0.9640287769784173,0.0007775869272550021
C0027430,10,10,0.15555555555555556,0.9453125,0.001123126189260686
C0027497,17,17,0.0661764705882353,0.9889366933005531,0.004394013872958655
C0027498,92,100,0.02818920210224558,0.9671080139372822,0.0035138091331692644
C0027540,52,53,0.05279034690799397,0.9762752075919335,0.005151753617226763
C0027626,136,143,0.04128540305010893,0.9472218353989695,0.004669689172527234
C0027627,150,185,0.036957494407158835,0.9484330128605319,0.00473116270378848
C0027643,31,32,0.09247311827956989,0.9817254568635784,0.006923360497283105
C0027658,13,13,0.08974358974358974,0.9682539682539683,0.001524607957953669
C0027659,35,37,0.09243697478991597,0.9704301075268817,0.004792438302335152
C0027697,17,17,0.11764705882352941,0.9801857585139319,0.00432301054126386
C0027707,10,10,0.17777777777777778,0.960880195599022,0.001823919803220866
C0027708,19,20,0.08187134502923976,0.9898329702251271,0.006661420940223155
C0027720,15,15,0.18095238095238095,0.97264218862491,0.00418097979141522
C0027726,56,57,0.04025974025974026,0.9668360524204332,0.0030023520500707607
C0027746,119,120,0.032758866258367755,0.9638648860958366,0.004809648460559706
C0027765,51,53,0.02666666666666667,0.973735032831209,0.0022984921672565615
C0027794,30,31,0.034482758620689655,0.9622641509433962,0.001184558925999907
C0027796,13,14,0.08974358974358974,0.9943571140669085,0.008808449255905624
C0027819,48,51,0.06648936170212766,0.9755261869799314,0.005791180436096517
C0027947,13,13,0.0641025641025641,0.9590163934426229,0.0008354994430003714
